Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;1Директивный стиль;2Аналитический стиль;3Концептуальный стиль;4Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;27;28;14;69;46;38;42,86;33,75;33,33;45,71;35,71;28,75;29;26,25;26,67;111;100;38;51;33;42;8;33;24;17;38;29;38;38;4;5;5;8;7;4;4;6;5;4;74;16;24;14;54;44;35;21;18;26;68;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;15;21;14;10
2;26;21;17;62;53;48;34,29;35;31,67;27,14;44,29;32,5;34;32,5;31,67;105;107;53;41;45;39;8;33;24;24;40;45;39;37;6;11;5;3;2;3;6;6;5;5;74;18;32;16;66;58;43;25;14;36;97;3;6;3;1;2,5;4;2,5;1;0;12;7,5;3,5;6,5;9,5;7;5;9;9;17;32;13
2;32;29;23;69;38;39;34,29;25;28,33;37,14;34,29;30;37;42,5;15;85;75;39;45;47;34;10;29;30;18;33;33;31;48;3;10;5;2;7;7;6;6;10;4;68;17;28;13;58;44;44;16;15;37;78;2,5;3;4;0;2;7;2,5;2,5;0,5;9,5;9;5,5;5;7,5;11,5;6;9,5;16;23;20;14
2;13;22;23;51;34;43;21,43;25;30;25,71;35,71;31,25;39;41,25;16,67;101;84;29;42;46;43;17;32;22;21;38;44;43;38;10;8;6;6;8;9;9;9;9;6;48;14;30;16;60;32;25;14;17;42;58;4;3;3,5;0;2,5;5;3,5;2,5;0;10,5;7,5;6;7,5;8;8,5;8;6;15;22;29;17
2;22;18;16;50;47;40;37,14;30;38,33;37,14;40;37,5;31;36,25;35;99;90;36;34;35;35;9;33;27;21;49;45;45;40;5;11;8;7;5;9;6;8;8;6;53;16;26;15;57;42;24;13;13;31;59;5,5;3;3,5;0;3,5;3,5;2;3;0;12;7;5;7,5;9,5;7;3;6;15;15;27;18
2;20;21;14;54;39;41;28,57;25;33,33;31,43;31,43;26,25;24;23,75;28,33;100;88;31;38;35;32;15;34;28;24;40;37;37;25;5;8;4;3;6;4;8;11;5;3;53;18;29;14;61;38;26;20;15;27;62;2;5;3;0;2;4;2;3;3;10;6;8;4;10;10;3;3;18;22;33;11
2;28;28;30;53;41;42;35,71;35;31,67;35,71;37,14;40;29;37,5;23,33;91;76;28;45;45;47;14;30;21;23;35;36;45;34;4;5;5;7;5;5;7;6;8;2;48;19;28;12;59;41;40;31;19;25;84;4,5;4;3;0;3,5;3,5;4,5;1;0;11,5;7;5,5;9;8,5;6,5;8;8,5;21;24;33;8
2;18;12;18;59;44;45;30;20;33,33;30;32,86;17,5;23;22,5;15;138;120;12;6;12;0;0;24;42;12;41;34;32;39;6;9;7;3;3;4;12;11;12;3;51;8;26;14;48;43;40;18;18;24;69;5,5;4,5;1,5;1;2,5;5,5;2;1,5;0;11,5;9;3,5;8,5;8,5;7;9;8,5;15;19;21;11
1;12;12;16;65;50;42;25,71;31,25;33,33;28,57;21,43;18,75;17;21,25;16,67;129;114;17;42;23;37;4;34;36;26;0;0;0;0;10;10;7;3;3;4;4;9;6;2;74;14;23;14;51;24;16;8;10;24;40;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;10;12;26;12
2;20;22;32;76;55;47;40;30;35;32,86;41,43;43,75;42;32,5;33,33;115;98;22;49;47;37;13;32;25;27;35;32;40;45;4;7;8;4;3;7;2;3;9;6;54;14;26;14;54;48;51;22;18;40;82;4;5;1,5;1;0;7,5;1,5;2,5;1;10,5;8,5;5;6,5;7,5;10;5;7;15;20;36;19
1;31;17;13;72;38;32;32,86;27,5;28,33;21,43;31,43;28,75;42;28,75;30;147;133;20;49;42;45;10;31;25;27;37;28;44;40;9;6;7;4;6;12;9;8;5;3;58;19;29;10;58;68;60;28;11;18;109;2;6;5;0;1,5;2,5;4;0;4;11;4;8;6;7,5;11,5;2;8;13;22;25;13
